SAMPLE,CEPHALOTORAX (cm),LENGTH (cm),WEIGHT (g),COMPLETE SHRIMP IMAGES
1,3.32,10.5,22,1
2,3.5,11.5,29,1
3,3.19,11,27,1
4,3.41,11.5,32,1
5,3.4,11.5,32,1
6,3.58,11.9,37,1
7,3.68,12.2,38,1
8,3.88,12.2,39,1
9,3.62,11,30,1
10,3.44,11,31,0
11,3.34,10.5,22,0
12,3.35,11,29,1
13,3.59,11,30,1
14,3.72,11.7,35,1
15,3.54,11.6,33,1
16,3.89,12.3,38,1
17,3.49,11.6,31,1
18,3.17,10.7,30,1
19,3.3,11.4,32,1
20,3.46,11.5,31,1
21,3.38,11,30,1
22,2.96,10,20,1
23,3,11.5,30,1
24,3.59,11.2,30,0
25,3.37,10.7,31,1
26,3.35,11.5,35,1
27,3.28,11.7,32,1
28,3.47,11.6,39,1
29,3.32,11.7,31,1
30,3.38,11.5,30,1
31,3.6,11.8,32,0
32,3.31,11.6,30,1
33,3.31,11.5,33,1
34,3.4,11.5,32,1
35,3.2,11.5,31,0
36,3.3,12.3,36,1
37,3.4,11,27,1
38,3.4,11.8,32,1
39,3.3,11.5,28,1
40,3.4,11.5,33,1
41,3.2,10.9,27,1
42,3.4,11.5,27,1
43,1.3,4,1,1
44,2.1,6.4,6,0
45,3.2,11,28,0
46,3.5,11.8,36,1
47,3.4,11.5,35,1
48,3.3,11.7,36,1
49,3.2,11.2,31,1
50,3.3,11.4,28,1
51,3.5,11,29,1
52,3.7,11.6,33,1
53,3.5,11.7,35,1
54,3.4,11.1,29,1
55,3.5,12,33,1
56,3.3,10.3,29,0
57,3.3,11,30,0
58,3.4,11.5,35,1
