Sample,Actual_Weight,Predicted_Weight
1,37.0,35.41
3,36.5,35.78
4,25.0,26.43
5,29.0,30.18
6,35.0,32.94
7,27.0,26.69
8,33.0,33.85
9,17.0,17.88
12,32.0,27.78
13,28.0,27.56
14,26.0,25.74
15,32.0,31.29
16,26.0,25.7
18,38.0,33.31
20,30.0,29.72
21,36.0,34.56
23,30.0,30.78
24,28.0,29.62
26,28.0,30.71
27,34.0,32.72
28,38.0,36.02
29,33.0,32.71
31,32.0,31.98
33,25.0,26.32
34,25.0,27.62
35,29.0,28.44
36,33.0,33.58
37,33.0,32.26
38,30.0,31.04
39,35.0,32.53
40,28.0,27.4
41,32.0,32.1
42,29.0,28.74
43,20.0,23.12
44,33.0,33.0
45,9.0,14.54
46,31.0,30.75
47,35.0,33.89
48,36.0,35.1
49,30.0,31.74
50,30.0,33.29
